arquivo,extensao,tamanho_kb,tamanho_mb
pixels/loss_extent/30pct/loss_extent_30pct_2024.png,.png,1463.1064453125,1.4288148880004883
pixels/loss_extent/30pct/loss_extent_30pct_2025.png,.png,1462.01953125,1.4277534484863281
pixels/loss_extent/50pct/loss_extent_50pct_2001.png,.png,1234.6357421875,1.2056989669799805
pixels/loss_extent/50pct/loss_extent_50pct_2002.png,.png,1237.943359375,1.2089290618896484
pixels/loss_extent/50pct/loss_extent_50pct_2003.png,.png,1241.8828125,1.2127761840820312
pixels/loss_extent/50pct/loss_extent_50pct_2004.png,.png,1245.0419921875,1.2158613204956055
pixels/loss_extent/50pct/loss_extent_50pct_2005.png,.png,1248.208984375,1.218954086303711
pixels/loss_extent/50pct/loss_extent_50pct_2006.png,.png,1248.984375,1.2197113037109375
pixels/loss_extent/50pct/loss_extent_50pct_2007.png,.png,1250.2021484375,1.220900535583496
pixels/loss_extent/50pct/loss_extent_50pct_2008.png,.png,1251.9052734375,1.2225637435913086
pixels/loss_extent/50pct/loss_extent_50pct_2009.png,.png,1251.8994140625,1.2225580215454102
pixels/loss_extent/50pct/loss_extent_50pct_2010.png,.png,1253.3076171875,1.223933219909668
pixels/loss_extent/50pct/loss_extent_50pct_2011.png,.png,1254.8564453125,1.2254457473754883
pixels/loss_extent/50pct/loss_extent_50pct_2012.png,.png,1255.8515625,1.2264175415039062
pixels/loss_extent/50pct/loss_extent_50pct_2013.png,.png,1254.5537109375,1.2251501083374023
pixels/loss_extent/50pct/loss_extent_50pct_2014.png,.png,1255.0439453125,1.2256288528442383
pixels/loss_extent/50pct/loss_extent_50pct_2015.png,.png,1254.810546875,1.2254009246826172
pixels/loss_extent/50pct/loss_extent_50pct_2016.png,.png,1254.4658203125,1.2250642776489258
pixels/loss_extent/50pct/loss_extent_50pct_2017.png,.png,1255.4384765625,1.2260141372680664
pixels/loss_extent/50pct/loss_extent_50pct_2018.png,.png,1257.607421875,1.2281322479248047
pixels/loss_extent/50pct/loss_extent_50pct_2019.png,.png,1256.0244140625,1.2265863418579102
pixels/loss_extent/50pct/loss_extent_50pct_2020.png,.png,1255.9150390625,1.2264795303344727
pixels/loss_extent/50pct/loss_extent_50pct_2021.png,.png,1254.9541015625,1.225541114807129
pixels/loss_extent/50pct/loss_extent_50pct_2022.png,.png,1256.443359375,1.2269954681396484
pixels/loss_extent/50pct/loss_extent_50pct_2023.png,.png,1251.5390625,1.2222061157226562
pixels/loss_extent/50pct/loss_extent_50pct_2024.png,.png,1251.044921875,1.2217235565185547
pixels/loss_extent/50pct/loss_extent_50pct_2025.png,.png,1252.2216796875,1.2228727340698242
pixels/pixel_layers.json,.json,7.35546875,0.007183074951171875
style.css,.css,11.2724609375,0.011008262634277344
